	Control_3_S6	Control_1_S4	Alcohol_2_S2	Alcohol_1_S1	Control_2_S5	Alcohol_3_S3
bin.1	0.005818718242910998	0.005245041796426815	0.35469595148336336	0.4965579413210949	3.728364202589739	0.0007375840026225209
bin.10	0.010926388737971917	0.007413041641010781	0.07095512332934913	0.18390138481413065	0.015284870875439168	0.18251294867615633
bin.100	1.8989385519003346	0.7801248452603576	0.005820844417520479	0.005873521742565913	0.7592909632048884	0.001079885163431401
bin.106	0.0005612386162100679	0.000856824287414037	0.005024956410467474	0.027021768575127402	0.000366675895923911	0.032896066091459446
bin.107	0.004781663107789283	0.007143791507819021	0.009618850349284445	0.010536410185949382	0.006723125613471096	0.02780065142042968
bin.109	6.99526944903509e-05	0.00017488173622587724	0.5300315661533888	0.018764810297036628	0.013203571085053732	0.001023058156921382
bin.110	3.140087137418063e-05	2.3550653530635475e-05	0.08577933037641794	0.12179612984260313	0.01164187306197747	0.05101856576519998
bin.118	1.2533244430852837e-05	1.002659554468227e-05	0.05885611584728492	0.005850518500322105	0.0015140159272470227	0.012533244430852837
bin.119	7.945832127269528e-05	6.243153814283201e-05	0.3451328940423286	0.18632408779009382	0.0022475353731419524	0.2370184967620734
bin.120	0.010433715220949264	0.031096563011456628	0.007978723404255319	0.014525368248772505	12.080810147299509	0.01309328968903437
bin.123	0.003409436703625446	0.008085358065857202	0.02539183878143175	0.08502162238613424	0.002340103633160897	0.07463901972801652
bin.124	0.039129641122996606	0.03748676572596838	0.0	2.920667372494615e-05	0.08036946442262057	2.920667372494615e-05
bin.125	1.4794976934905177	12.414402870322911	0.04613018964633521	0.005894413121476166	1.9138903126601743	0.14146591491542798
bin.130	0.0462520039722462	0.041312658613997626	0.0025118615685180016	0.005121082112559957	0.056318922041423	0.01494135744374274
bin.131	0.0	9.838041245987924e-06	0.016109792540305225	0.006178289902480416	0.0053887870924898855	0.046929916253673896
bin.135	0.014068466537147451	0.005828364708246801	0.001942788236082267	0.005158437730287398	4.182756079587325	0.0031486567964091913
bin.138	0.0716131115775876	0.1352333279509123	0.028403035685451317	0.021895688680768608	0.3196512191183594	0.08971419344421121
bin.142	0.0013248223533662532	0.0009635071660845478	1.2419607370829822	0.7974226183307238	0.09960255329399012	1.368240395037938
bin.143	0.023039296284117067	0.016010358434725418	0.2495478461032555	0.7570905951989477	0.21668447878987177	0.5517921736270963
bin.147	0.00799130545965989	0.01086817542513745	1.208668968162639	3.1275412351361718	0.024293568597366064	3.965861143076333
bin.153	0.048401716115777385	0.006223941023626806	0.5706084959816303	0.9138316514593027	0.022659979454951962	2.41972324611759
bin.155	3.537888823809206e-05	5.110283856613297e-05	0.001481982318417856	0.0648730880659148	0.00018868740393649096	0.05506134306121727
bin.159	0.00028531058094668767	0.00028531058094668767	0.288095755665453	1.0490734199228302	0.02691429813597087	0.09681539046790935
bin.16	0.0008060410656711353	0.03672789750551502	0.14524647887323944	0.10893220770405566	0.027087222127948413	0.3828589003902936
bin.160	0.011827654181920586	1.19424105885666	0.3420867361306674	0.11179949310053507	4.703463813010419	0.2282455646296818
bin.161	0.6780109545202782	1.2662317681088067	0.17859560588343898	0.4513816234845221	0.34411348390670193	1.0624961536094528
bin.167	0.38566487317448117	1.550826287471176	12.682071483474251	0.2026325903151422	0.11154880860876248	2.387106072252114
bin.171	5.385520361990951	0.7394957983193278	0.018358112475759535	0.029282482223658694	0.4608920491273432	0.037944408532643824
bin.174	0.6103767021170857	1.3223834608885796	0.4447868005168472	1.3999602425206241	0.48558791372626975	1.1350263393300866
