bin.299.fa	Bacteria;Firmicutes
bin.160.fa	Bacteria;Firmicutes
bin.197.fa	Bacteria
bin.455.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae
bin.200.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.375.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.41.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.550.fa	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus;Latilactobacillus curvatus
bin.304.fa	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
bin.291.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae
bin.98.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.361.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.479.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae
bin.135.fa	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
bin.32.fa	Bacteria;Proteobacteria
bin.47.fa	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
bin.261.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.434.fa	Bacteria
bin.68.fa	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae
bin.206.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.393.fa	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudolongum
bin.229.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.50.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.540.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae
bin.21.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.258.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.302.fa	Bacteria
bin.46.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae
bin.19.fa	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
bin.525.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia
bin.447.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.275.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae
bin.367.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.23.fa	Bacteria
bin.22.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae
bin.366.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.204.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae
bin.339.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales
bin.451.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae
bin.283.fa	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
bin.294.fa	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
bin.45.fa	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae
bin.386.fa	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
